Number,Sub Market,Change since 2000,Change Bubble Era Peak to Current,Recovery from Bottom,COVID-19 Pandemic Start to Current,Year-over-year change,Quarter-over-quarter change,Median Sales Price 2023 Q1 - 2023 Q4
p3101,Palatine/Barrington,101.70%,15.80%,65.80%,34.90%,15.10%,3.80%,"$425,000 "
p3102,Hoffman Estates/Streamwood,130.40%,31.30%,122.60%,42.10%,6.20%,2.80%,"$301,000 "
p3103,Schaumburg,157.00%,40.70%,101.40%,40.40%,10.80%,2.80%,"$367,000 "
p3104,Mount Prospect/Elk Grove Village,126.50%,23.80%,84.90%,43.50%,12.80%,1.80%,"$415,000 "
p3105,Arlington Heights/Wheeling,112.60%,18.00%,77.20%,33.90%,5.30%,1.60%,"$420,000 "
p3106,Winnetka/Northbrook,104.70%,14.30%,50.70%,29.30%,6.90%,2.20%,"$850,000 "
p3107,Evanston/Skokie,111.80%,12.40%,78.00%,33.10%,3.00%,1.80%,"$460,000 "
p3108,Park Ridge/Niles,109.90%,11.00%,83.80%,30.80%,7.70%,2.00%,"$385,000 "
p3109,Elmwood Park/Franklin Park,117.70%,11.20%,120.90%,35.50%,4.80%,1.20%,"$320,000 "
p3110,Melrose Park/Maywood,117.00%,18.30%,171.80%,40.40%,1.80%,1.40%,"$260,000 "
p3111,Oak Park/Brookfield,125.90%,16.60%,70.20%,29.70%,4.50%,0.90%,"$430,000 "
p3112,Berwyn/Cicero,154.40%,24.50%,217.40%,39.40%,8.10%,3.90%,"$267,000 "
p3113,LaGrange/Burbank,110.60%,16.30%,87.20%,34.40%,3.20%,1.70%,"$330,000 "
p3114,Oak Lawn/Blue Island,114.50%,20.60%,110.10%,42.10%,6.90%,2.50%,"$260,000 "
p3115,Orland Park/Lemont,136.10%,21.50%,69.50%,33.70%,7.00%,3.10%,"$390,000 "
p3116,Oak Forest/Tinley Park,121.80%,26.80%,108.00%,48.20%,4.80%,1.80%,"$242,000 "
p3117,Calumet City/Harvey,86.30%,15.10%,187.60%,65.40%,1.70%,1.00%,"$145,000 "
p3118,Chicago Heights/Park Forest,103.30%,26.00%,147.60%,69.90%,4.90%,3.00%,"$184,000 "
p3151,Chicago--Albany Park/North Park,127.50%,18.70%,81.80%,31.30%,8.80%,2.90%,"$427,000 "
p3152,Chicago--Lincoln Square/North Center,169.20%,31.00%,70.80%,21.60%,-2.50%,-0.60%,"$669,000 "
p3153,Chicago--Uptown/Rogers Park,152.30%,30.50%,83.90%,21.30%,18.20%,8.50%,"$610,000 "
p3154,Chicago--Lake View/Lincoln Park,106.30%,18.60%,36.90%,14.40%,10.80%,4.20%,"$1,390,500 "
p3155,Chicago--Logan Square/Irving Park,221.50%,46.30%,122.10%,26.10%,8.30%,2.50%,"$619,500 "
p3156,Chicago--Portage Park/Jefferson Park,132.90%,16.10%,110.70%,30.40%,2.20%,1.60%,"$361,000 "
p3157,Chicago--Humboldt Park/Belmont Cragin,184.40%,18.50%,195.60%,45.70%,9.80%,2.90%,"$305,500 "
p3158,Chicago--Austin/North Lawndale,178.70%,16.40%,205.50%,55.30%,13.00%,4.80%,"$202,000 "
p3159,Chicago--West Town/Near West Side,228.50%,42.50%,90.80%,16.10%,2.30%,-0.30%,"$837,000 "
p3161,Chicago--Bronzeville/Hyde Park,133.10%,-7.30%,89.80%,15.90%,-10.40%,-4.10%,"$444,000 "
p3162,Chicago--Bridgeport/Lower West Side,234.70%,16.30%,151.90%,28.40%,5.10%,1.30%,"$320,000 "
p3163,Chicago--South Lawndale/Brighton Park,180.50%,14.30%,227.70%,39.80%,0.80%,1.20%,"$228,000 "
p3164,Chicago--Archer Heights/West Lawn,153.00%,22.00%,123.60%,33.70%,4.30%,-0.40%,"$275,000 "
p3165,Chicago--Englewood/Greater Grand Crossing,159.60%,4.60%,238.00%,76.00%,3.50%,2.90%,"$135,000 "
p3166,Chicago--Auburn Gresham/Morgan Park,148.50%,25.60%,123.40%,49.70%,13.70%,2.80%,"$220,000 "
p3167,Chicago--Chatham/West Pullman,106.60%,7.30%,171.70%,60.60%,7.50%,0.10%,"$130,000 "
p3168,Chicago--South Chicago/Hegewisch,126.70%,8.70%,161.70%,61.70%,-2.50%,0.70%,"$145,000 "
,,,,,,,,
,City of Chicago,145.60%,16.30%,114.80%,37.90%,5.10%,1.30%,"$280,000 "
,Suburban Cook,106.00%,16.80%,95.90%,40.20%,5.40%,2.10%,"$318,000 "
,Cook County,115.60%,15.80%,100.60%,39.30%,5.20%,1.80%,"$305,000 "